# name	sci	cat	layer	flags	note
Yellow Birch	Betula alleghaniensis	Native Shrub	Overstory	k nat	
Aunt Molly's Ground Cherry	Physalis pruinosa	Vegetable	Herbaceous	k	
Nanking Cherry	Prunus tomentosa	Berry	Shrub	k	
Goji Berry	Lycium barbarum	Berry	Shrub	k	
Beach Plum	Prunus maritima	Fruit Tree	Shrub	k nat	
Invicta Gooseberry	Ribes uva-crispa	Berry	Shrub	k	
Pixwell Gooseberry	Ribes uva-crispa	Berry	Shrub	k	
Hinnonmaki Red Gooseberry	Ribes uva-crispa	Berry	Shrub	k	
Consort Black Currant	Ribes nigrum	Berry	Shrub	k	
Titania Black Currant	Ribes nigrum	Berry	Shrub	k	
Rovada Red Currant	Ribes rubrum	Berry	Shrub	k	
Red Lake Red Currant	Ribes rubrum	Berry	Shrub	k	
Natchez Blackberry	Rubus fruticosus	Berry	Shrub	k	
Triple Crown Blackberry	Rubus fruticosus	Berry	Shrub	k	
Arapaho Blackberry	Rubus fruticosus	Berry	Shrub	k	
Anne Yellow Raspberry	Rubus idaeus	Berry	Shrub	k	
Autumn Britten Raspberry	Rubus idaeus	Berry	Shrub	k	
Earliglow Strawberry	Fragaria × ananassa	Berry	Groundcover	k	
Seascape Strawberry	Fragaria × ananassa	Berry	Groundcover	k	
Ozark Beauty Strawberry	Fragaria × ananassa	Berry	Groundcover	k	
Bluecrop Blueberry	Vaccinium corymbosum	Berry	Shrub	k	
Duke Blueberry	Vaccinium corymbosum	Berry	Shrub	k	
Jersey Blueberry	Vaccinium corymbosum	Berry	Shrub	k	
Dolgo Crabapple	Malus domestica	Fruit Tree	Overstory	k	
Centennial Crabapple	Malus domestica	Fruit Tree	Overstory	k	
Pineapple Quince	Cydonia oblonga	Fruit Tree	Shrub	k	
Nottingham Medlar	Mespilus germanica	Fruit Tree	Shrub	k	
Royal Medlar	Mespilus germanica	Fruit Tree	Shrub	k	
Colossal Chestnut	Castanea dentata	Fruit Tree	Overstory	k	
Chinese-American Chestnut	Castanea mollissima	Fruit Tree	Overstory	k	
Shellbark Hickory	Carya laciniosa	Fruit Tree	Overstory	k nat	
Butternut	Juglans cinerea	Fruit Tree	Overstory	k nat	
Jefferson Hazelnut	Corylus avellana	Berry	Shrub	k	
Theta Hazelnut	Corylus avellana	Berry	Shrub	k	
Ken's Red Hardy Kiwi	Actinidia arguta	Vine	Vine	k	
Issai Hardy Kiwi	Actinidia arguta	Vine	Vine	k	
White Clover	Trifolium repens	Ground Cover	Groundcover	N pollinator	
Comfrey Bocking	Symphytum × uplandicum	Support Species	Herbaceous	k D	Plant at base of every fruit tree.
